airport,lat,long
Inkafarma,-11.9375364,-77.0724821
Inkafarma,-11.9401711,-77.0697355
Inkafarma,-12.054986,-77.049024
Inkafarma,-12.056484,-77.0370806
Inkafarma,-12.050875,-77.029938
Inkafarma,-12.0477739,-77.032488
Inkafarma,-12.055026,-77.047735
Inkafarma,-12.0726528,-77.0373327
Inkafarma,-12.0485092,-77.0594959
Inkafarma,-12.054751,-77.069497
Inkafarma,-12.0461621,-77.0371773
Inkafarma,-12.044162,-77.030025
Inkafarma,-12.0481179,-77.033014
Inkafarma,-12.0545429,-77.0267363
Inkafarma,-12.045548,-77.0366612
Inkafarma,-12.0569116,-77.0371557
Inkafarma,-12.0647724,-77.0292771
Inkafarma,-12.093886,-77.058111
Inkafarma,-12.0520018,-77.0424765
Inkafarma,-12.027306,-77.0556754
Inkafarma,-12.0656559,-77.048542
Inkafarma,-12.026897,-77.033281
Inkafarma,-12.0784089,-77.082844
Inkafarma,-12.087089,-77.0353261
Inkafarma,-12.0551112,-77.0133126
Inkafarma,-12.022147,-77.0544388
Inkafarma,-12.0735684,-77.0494882
Inkafarma,-12.0828346,-77.0326121
Inkafarma,-12.0744849,-77.0500979
Inkafarma,-12.092428,-77.070849
Inkafarma,-12.0920216,-77.0422707
Inkafarma,-12.090563,-77.072507
Inkafarma,-12.023301,-77.050259
Inkafarma,-12.0306009,-77.0863773
Inkafarma,-12.07509,-77.053585
Inkafarma,-12.0869179,-77.042183
Inkafarma,-12.092393,-77.032334
Inkafarma,-12.093399,-77.058036
Inkafarma,-12.088106,-77.081509
Inkafarma,-12.103036,-77.0586079
Inkafarma,-12.080328,-77.0389649
Inkafarma,-12.0281805,-77.0318131
Inkafarma,-12.0261156,-77.0101584
Inkafarma,-12.0779149,-77.064751
Inkafarma,-12.0529911,-77.0296425
Inkafarma,-12.092333,-77.0704436
Inkafarma,-12.080221,-77.023099
Inkafarma,-12.063742,-77.013544
Inkafarma,-12.0309235,-76.9996654
Inkafarma,-12.072382,-77.064325
Inkafarma,-12.0894802,-77.0659308
Inkafarma,-12.1244723,-77.0290357
Inkafarma,-12.027339,-77.007471
Inkafarma,-12.0910109,-77.0081088
Inkafarma,-12.086286,-77.0386762
Inkafarma,-12.066465,-77.048019
Inkafarma,-12.0896946,-77.0525828
Inkafarma,-12.0254559,-77.0752501
Inkafarma,-12.0901798,-77.0733324
Inkafarma,-12.063957,-77.037739
Inkafarma,-12.1089755,-77.0380405
Inkafarma,-12.102649,-77.0524923
Inkafarma,-12.092608,-77.053304
Inkafarma,-12.0588425,-77.035948
Inkafarma,-12.02586,-77.0019059
Inkafarma,-12.0863722,-77.0539399
Inkafarma,-12.00136,-77.054632
Inkafarma,-12.0828751,-77.0673085
Inkafarma,-12.1115927,-77.0186508
Inkafarma,-12.074413,-77.079499
Inkafarma,-12.0830532,-77.0669755
Inkafarma,-12.0091352,-77.0112205
Inkafarma,-12.1187989,-77.0350869
Inkafarma,-12.0070679,-77.0541589
Inkafarma,-12.0486151,-77.0010438
Inkafarma,-12.0179953,-77.0104611
Inkafarma,-12.0222193,-77.0544899
Inkafarma,-12.0926832,-77.0476167
Inkafarma,-12.1124719,-77.029713
Inkafarma,-12.0895809,-76.996042
Inkafarma,-12.089406,-77.0049466
Inkafarma,-12.113465,-77.023793
