start_lat,start_lon,end_lat,end_lon,cnt,fecha
-11.9748541,-77.0508136,-11.99001013,-77.06297636,128.47,05/06
-11.99001013,-77.06297636,-11.9940296,-77.06187129,10.5,07/06
-11.9940296,-77.06187129,-11.9939908,-77.06149,89.9,10/06
-11.9939908,-77.06149,-12.00624505,-77.05907106,78.26,01/07
-12.00624505,-77.05907106,-11.9908812,-77.0713288,43.5,05/07
-11.9908812,-77.0713288,-11.989556,-77.06317,13.9,06/07
-11.989556,-77.06317,-11.98288933,-77.0589906,107.27,27/07
-11.98288933,-77.0589906,-11.98903411,-77.05863118,287.15,01/08
-11.98903411,-77.05863118,-12.0057768,-77.0584132,120.2,02/08
-12.0057768,-77.0584132,-11.98902362,-77.06357718,71.1,17/08
-11.98902362,-77.06357718,-11.989059,-77.063114,1062.54,17/08
-11.989059,-77.063114,-12.010724,-77.079977,96.92,25/08
-12.010724,-77.079977,-11.98887,-77.05724,636.71,28/08
